sent0,sent1,hard_neg
"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.","Some land masses are moving up or down as a consequence of subsidence (land sinking or settling) or post-glacial rebound (land rising due to the loss of the weight of ice after melting), so that local sea level rise may be higher or lower than the global average.","Henry Prize Stories, and the original collection was called Prize Stories 1919 : The O. Henry Memorial Awards"
"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.","In Europe for instance, considerable variation is found because some land areas are rising while others are sinking.",Both parties have since reconciled their differences and on X-Clan 's Return from Mecca album.
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years","In 2016, bleaching of coral on the Great Barrier Reef killed between 29 and 50 percent of the reef's coral.",He portrayed some of the most influential people of Denmark at the time.
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years","Sea level on the Great Barrier Reef has not changed significantly in the last 6,000 years.","The library delivers about 12,000 documents daily."
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years","When the 2019 Townsville flood waters reached the Great Barrier Reef, the flood plumes covered a large area of corals, even reaching 60 km out to sea.","Lohaynny Vicente (born 2 May 1996) is a Brazilian badminton player who has qualified to compete at the 2016 Summer Olympics in her home city of Rio de Janeiro, Brazil."
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years","On 3 April 2010, the bulk coal carrier Shen Neng 1 ran aground on Douglas Shoals, spilling up to four tonnes of oil into the water and causing extensive damage to the reef.","In April 1945 he was discharged from active duty and returned to Winston-Salem, where he found work at an auto dealership."
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years","In March 2017, the journal Nature published a paper showing that huge sections of an 800-kilometre (500 mi) stretch in the northern part of the reef had died in the course of 2016 due to high water temperatures, an event that the authors put down to the effects of global climate change.","| style = ``text-align : left ;'' | Zak Surety | | style = ``text-align : left ;'' | | | 97 | | 10,666 | | 80 | | 10,666 | | 80 | | 11,691 | | 82 | | 11,691 | | 84 | | 12,216 | | 82 | | 13,116 | | 80 | | 14,616 | | 84 | | 14,616 | | 85 | | 14,616"
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","According to the United States National Research Council, [T]here is a strong, credible body of evidence, based on multiple lines of research, documenting that climate is changing and that these changes are in large part caused by human activities.","Humans of this era actively hunted the mammoth and the mastodon, but it is not known if this hunting was the cause of the subsequent massive ecological changes, widespread extinctions and climate changes."
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","European Science Foundation in a 2007 position paper states: There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change ... On-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.","Highway 19 is 18.8 km long, starting at Highway 3 in the south and ending at Highway 2 in the north ; this is similar to its original route and length of 25.1 km in 1930."
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",Seventy-five of 77 believed that human activity is a significant factor in changing mean global temperatures.,"Paramesiodes chloradelpha (Meyrick, 1912)"
